Colonialism,Geopolitical lever,Weapons,Supply chain,onshoring,defense,war,government subsidy,moore's law,economic integration,economic cost,hostage scenario,investment,Silicon Shield,dependence,independence,innovation,security,zero sum,research,Shortage,Theft,computational power is power,pick sides / choices,cold war,World war 3
1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4
Colonialism,10,9,8,7,6,5,4,3,2,1,10,9,8,7,6,5,4,3,2,1,10,9,8
Geopolitical lever,9,10,9,8,7,6,5,4,3,2,1,10,9,8,7,6,5,4,3,2,1,10
Weapons,8,9,10,9,8,7,6,5,4,3,2,1,10,9,8,7,6,5,4,3,2
Supply chain,7,8,9,10,9,8,7,6,5,4,3,2,1,10,9,8,7,6,5,4,3
onshoring,6,7,8,9,10,9,8,7,6,5,4,3,2,1,10,9,8,7,6,5,4
defense,5,6,7,8,9,10,9,8,7,6,5,4,3,2,1,10,9,8,7,6,5
war,4,5,6,7,8,9,10,9,8,7,6,5,4,3,2,1,10,9,8,7,6
government subsidy,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3,2,1,10,9,8,7
moore's law,2,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3,2,1,10,9,8
economic integration,1,2,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3,2,1,10,9
economic cost,10,1,2,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3,2,1,10
hostage scenario,9,10,1,2,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3,2,1
investment,8,9,10,1,2,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3,2
Silicon Shield,7,8,9,10,1,2,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3
dependence,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,9,8,7,6,5,4
independence,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,9,8,7,6,5
innovation,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,9,8,7,6
security,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,9,8,7
zero sum,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,9,8
research,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,9
Shortage,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10
Theft,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9
computational power is power,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8
pick sides / choices,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7
cold war,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6
World war 3,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5
